Ocupation,MODEL,BANK
LOGISTIC,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
SN PROJECT MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
ADMIN OFFICER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
INVESTMENT ADVISER,SANTA FE 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
SENIOR OIL TRADER,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,NO FINANCE - CASH PAYMENT
DOCTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
NULL,TUCSON 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
GLOBAL MARKETING MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
Pastor,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
DOCTOR,IONIQ 6 ELECTRIC AWD,NO FINANCE - CASH PAYMENT
DEPUTY DIRECTOR,SANTA FE 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
IT PROFESSIONAL,SANTA FE 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
RETIREE,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
MOTOR TRADERS,SANTA FE 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
MOTOR TRADERS,SANTA FE 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
